Weight,Zone(s),,,,,,,,,,,,,,
93,53.05,54.45,60.28,65.79,77.88,89.7,95.68,363.82,46.3,363.82,62.04,163.84,184.46,163.84,184.46
94,53.32,55.87,60.57,66.64,79.76,89.72,96.67,367.26,47.88,367.26,63.28,165.09,185.72,165.09,185.72
95,54.04,56.38,60.97,67.54,79.77,90.04,97.7,370.83,49.05,370.83,63.29,166.5,186.9,166.5,186.9
96,55.24,56.75,63.21,67.78,79.78,90.04,98.68,374.22,49.7,374.22,66.04,167.86,188.15,167.86,188.15
97,57.61,58.97,64.12,69.39,82.24,91.33,101.56,377.79,51.84,377.79,66.33,169.31,189.43,169.31,189.43
98,58.37,59.35,64.13,70.2,83.18,91.34,101.57,381.14,52.99,381.14,67.97,170.71,190.72,170.71,190.72
99,59.08,59.36,65.44,70.55,83.19,92.26,101.65,384.71,53.66,384.71,68.62,171.94,191.94,171.94,191.94
100,59.6,60.14,65.45,70.93,83.49,92.32,101.71,388.28,54.33,388.28,69.8,173.23,193.17,173.23,193.17
101,61.16,61.3,66.57,72.14,84.28,93.19,103.62,388.29,55.45,388.29,72.33,174.53,194.46,174.53,194.46
102,61.17,61.31,66.58,72.15,84.29,93.2,103.63,388.3,57.13,388.3,72.34,175.76,195.66,175.76,195.66
103,61.38,62.23,67.96,72.16,84.51,93.21,103.63,388.31,58.3,388.31,74.55,177.16,196.96,177.16,196.96
104,61.39,62.24,67.97,72.17,84.52,93.22,103.64,388.35,60.02,388.35,74.99,178.58,198.18,178.58,198.18
105,64.19,64.69,69.57,74.87,86.61,96.09,106.03,391.81,61.18,391.81,75.75,179.96,199.44,179.96,199.44
106,64.64,65.03,69.69,74.88,86.62,96.1,106.04,395.44,61.19,395.44,76.97,181.26,200.68,181.26,200.68
107,65.27,65.6,70.64,75.11,86.62,96.11,106.05,399.09,62.65,399.09,79.01,182.51,201.87,182.51,201.87
108,65.28,65.69,70.65,75.12,87.4,96.12,106.06,402.73,63.48,402.73,80.84,183.78,203.13,183.78,203.13
109,67.9,67.91,72.07,77.15,88.15,97.84,107.98,406.18,64.64,406.18,81.8,184.98,204.38,184.98,204.38
110,69.07,69.54,73.59,78.63,90.6,100.38,111.01,409.6,65.79,409.6,82.51,186.47,205.65,186.47,205.65
111,69.07,69.64,75.21,78.8,90.61,100.39,111.28,414.27,66.89,414.27,84.48,187.86,206.85,187.86,206.85
112,69.22,70.41,75.22,78.81,91.33,100.39,111.29,418.95,68.72,418.95,84.93,189.24,208.2,189.24,208.2
113,69.23,70.42,76.06,79.54,91.34,100.4,112.26,422.57,69.18,422.57,86.23,190.48,209.67,190.48,209.67
114,70.62,71.93,77.06,81.09,93.76,102.91,115.11,426.25,69.85,426.25,87.69,191.8,211.03,191.8,211.03
115,72.08,74.14,78.4,82.7,93.78,104.87,115.15,429.88,71.44,429.88,89.02,193.06,212.38,193.06,212.38
116,72.85,74.41,79.35,83.07,95.15,106.17,116.95,432.57,72.65,432.57,90.62,195.67,213.84,195.67,213.84
117,72.86,74.42,79.36,83.82,95.16,106.18,117.71,436.01,73.1,436.01,90.63,195.68,215.22,195.68,215.22
118,74.33,75.29,79.45,84.06,96.75,106.19,118.61,439.45,74.95,439.45,93.05,197.11,216.54,197.11,216.54
119,75.82,76.11,81.81,85.27,96.76,107.04,118.62,445.81,75.35,445.81,93.59,198.53,217.86,198.53,217.86
120,77.15,77.21,81.82,85.27,97.53,107.43,118.63,449.47,78.45,449.47,96.07,199.88,219.11,199.88,219.11
121,77.16,77.22,81.83,85.29,98.16,107.44,118.64,452.47,78.46,452.47,96.09,201.34,220.34,201.34,220.34
122,77.89,79.45,82.73,86.71,99.69,110.16,121.85,460.6,80.33,460.6,98.48,202.73,221.54,202.73,221.54
123,78.6,80.29,86.01,88.4,99.7,111.14,122.36,463.22,80.79,463.22,98.52,204.1,222.82,204.1,222.82
124,78.61,80.32,86.1,88.41,100.35,111.15,122.37,464.02,81,464.02,101.28,205.5,224.04,205.5,224.04
125,78.61,80.32,86.11,88.42,100.36,111.16,122.38,467.9,82.2,467.9,101.87,206.9,225.33,206.9,225.33
126,80.95,81.12,86.99,88.42,100.96,111.17,126.69,470.8,83.32,470.8,103.32,208.4,226.51,208.4,226.51
127,80.96,82.52,88.68,90.44,103.99,113.17,126.7,474.63,85.23,474.63,103.55,209.75,227.81,209.75,227.81
128,81.71,82.53,88.69,91.06,104,113.18,128.58,478.49,87.23,478.49,103.96,212.37,229.2,212.37,229.2
129,82.48,82.79,88.69,91.07,104.01,113.19,128.61,482.35,87.24,482.35,104.35,212.57,230.53,212.57,230.53
130,82.8,82.82,88.85,91.08,104.02,114.67,131.56,495.57,90.39,495.57,106.63,213.95,231.91,213.95,231.91
131,84.05,84.91,91.51,93.17,105.55,115.75,132.16,495.58,90.65,495.58,106.76,215.36,234.73,215.36,234.73
